Gene stable ID,SRR3414631,SRR3414630,SRR3414636,SRR3414637,SRR3414635,SRR3414629
ENSMUSG00000095677,0.6999421707587625,0.45016901109850715,0.4013609971484656,0.32798029355428093,0.4175379283038522,0.9499613554887544
ENSMUSG00000022517,5.663422345970836,4.920127342917496,8.168563927789005,6.779895289031874,8.242533164313643,6.4256794701125
ENSMUSG00000021048,12.08459470543964,11.94150086301167,6.568435385960217,5.961405042984335,6.334442493114625,9.902856112236263
ENSMUSG00000048330,0.17134998094481874,0.1512604401752972,0.21584823716397702,0.2597666650125575,0.28128337715680457,0.17748629650054507
ENSMUSG00000029836,3.801070958257211,3.8906722634488085,3.1926432085952743,3.637969992812067,3.1532251787293752,3.791379553382421
ENSMUSG00000020305,1.3859576273039425,1.4350406707042154,1.5186650251949496,1.6487198741155986,1.378682408356771,1.2072761640014766
ENSMUSG00000041831,0.006249567878804443,0.005024275413968496,0.0,0.0,0.0,0.007177002553297225
ENSMUSG00000034416,0.0,0.005035471091099381,0.0,0.0,0.0070862280062759,0.010789492782600843
ENSMUSG00000092083,0.020405405816485696,0.018748245500488512,0.0170250788853477,0.013659436592210025,0.019787772573393734,0.010042956053878633
ENSMUSG00000050377,0.1324374626393792,0.08795490522596944,0.0941635847449669,0.1349082814598829,0.0781740703219923,0.12894685023920785
ENSMUSG00000036291,1.8757613938595543,2.379239441278121,1.2752392479860055,1.7052343550621076,1.4894404408902966,1.6440176224431715
ENSMUSG00000026519,7.092758821699263,5.206310911195137,5.556617858892136,5.010730133784395,6.150763219560348,6.591022129418814
ENSMUSG00000030413,0.6665244609284151,0.5988860821502168,0.09159443727645003,0.09185922254768424,0.06653603141944249,0.4277439617239531
ENSMUSG00000028093,3.292070286949252,3.467992473059412,1.219918621566968,1.3617477192919232,1.4024655529978685,3.0818513319669245
ENSMUSG00000028879,27.77316601678216,32.40320586347486,30.403599756354495,37.26737890842217,31.975262598982127,26.851294406913283
ENSMUSG00000078670,9.307403221505492,9.506756305864293,1.2391840965723593,1.458179225123394,1.0882032328357645,9.177918452886896
ENSMUSG00000044041,62.43621247994574,54.53047461329041,0.10860816226673209,0.13615266446317065,0.15779028316264732,50.960019001722024
ENSMUSG00000036111,0.9648664266130085,0.9845351713615118,1.0403441298237817,1.369398978785501,1.3435142864275238,0.8736567151799004
ENSMUSG00000054146,0.20753324178775318,0.0,0.18854504905076566,0.18909010346058852,0.15652902301115793,0.1588874233749095
ENSMUSG00000036282,3.115341178985342,3.5666200007833515,2.400919187108946,3.0730145315370216,2.4539113311542393,2.5778259136712802
ENSMUSG00000042997,2.1434206935985105,2.2090613936304098,2.9551668948324745,2.906082131671702,3.267742792137994,2.1225427187693238
ENSMUSG00000030344,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025789,1.2606544511677553,1.313254775405048,2.0428942008874307,2.111199886920756,2.2197213254819257,1.7841808643337107
