"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000008333",0.0435493912492427,5.41439755069265,0.0992993454553579,0.752672072411707,0.80129291701668
"ENSMUSG00000028041",0.0456997979626881,7.43382509367417,0.0991265685087228,0.752880314201539,0.801451319942431
"ENSMUSG00000000374",-0.0332408721877223,6.1811500763164,0.0990062896374937,0.753025399756354,0.801542472492334
"ENSMUSG00000052428",-0.0314071236506906,5.86331391424248,0.0988441421999884,0.753221142356685,0.801687527246998
"ENSMUSG00000062352",-0.0355886001643983,5.373330855983,0.0986984664625794,0.753397151006682,0.801811557015953
"ENSMUSG00000072568",0.0553225554217458,3.58106805916175,0.0986399126301318,0.753467937251503,0.801823591891972
"ENSMUSG00000040717",0.0462131608708828,4.38646140654828,0.0983709805041144,0.753793348492459,0.80210656966034
"ENSMUSG00000050050",0.10905252075127,0.0947641591602152,0.0983104809963065,0.753866620953535,0.802121224709914
"ENSMUSG00000031153",-0.0329781708151049,5.49723920561611,0.0981738438016242,0.754032196828875,0.80223408140242
"ENSMUSG00000006676",-0.0312990296943145,7.56898897813052,0.0976469440336558,0.754671877344148,0.802851292493407
"ENSMUSG00000019984",0.0325364173381783,5.58423335325904,0.0975388559915151,0.754803335214766,0.802881645455714
"ENSMUSG00000019432",0.0329257767906735,7.43090917081647,0.0974609690690595,0.754898111715276,0.802881645455714
"ENSMUSG00000015971",0.0328553158649096,4.93207809228268,0.0974429211332712,0.754920079230018,0.802881645455714
"ENSMUSG00000029056",-0.0332371379619321,4.60971510882077,0.0974276776655905,0.754938634952647,0.802881645455714
"ENSMUSG00000048965",0.0688777529626196,2.51133157551035,0.0972529756967901,0.755151411779868,0.803044583277147
"ENSMUSG00000060073",-0.0318255860964839,7.00323752544121,0.0971896005656845,0.755228650829736,0.803063372916522
"ENSMUSG00000051306",0.0332903414808803,4.75373796099714,0.0969300454265438,0.755545274793492,0.803336686607072
"ENSMUSG00000030271",-0.0523190905384133,3.2366466321363,0.0967571459452579,0.755756448104734,0.803497845181382
